"id","modulo_id","titulo","video","pdf_questoes","pdf_resolucao","descricao"
"1","2","Introdução à Álgebra: Conceitos Básicos","https://www.youtube.com/watch?v=0UGJRHq2PS4&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=1",NULL,NULL,"Nesta aula, abordaremos os conceitos iniciais fundamentais da álgebra, uma das áreas mais importantes da matemática. A álgebra lida com símbolos e as regras para manipulação desses símbolos, permitindo resolver uma ampla gama de problemas matemáticos. Começaremos com os conceitos de variáveis, constantes e expressões algébricas. Além disso, explicaremos como essas ferramentas podem ser utilizadas para resolver equações e entender as relações entre diferentes valores. A compreensão desses conceitos é essencial para avançar em outras disciplinas matemáticas, como geometria, cálculo e aritmética, e também serve de base para o aprendizado em física, economia e outras áreas científicas. A aula incluirá exemplos práticos de resolução de equações simples para aplicar o que foi aprendido."
"2","2","Equações de 1º Grau: Resolução e Aplicações","https://www.youtube.com/watch?v=0UGJRHq2PS4&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=2",NULL,NULL,"Nesta aula, iremos estudar as equações de primeiro grau, que são aquelas que envolvem uma variável elevada à primeira potência. Vamos aprender a identificar uma equação do primeiro grau, compreender seus componentes e os diferentes métodos para resolvê-las, como adição, subtração, multiplicação e divisão de termos. Além disso, discutiremos a aplicação dessas equações em diversos contextos práticos, como no cálculo de valores desconhecidos em situações financeiras, no ajuste de preços e na previsão de custos em negócios. Serão apresentados exemplos reais e explicações sobre como utilizar essas ferramentas de forma eficiente em problemas do cotidiano."
"3","2","Funções Lineares: Entendendo o Conceito","https://www.youtube.com/watch?v=BhDm2qGy780&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=3",NULL,NULL,"Nesta aula, vamos nos aprofundar no conceito de funções lineares, que têm a forma matemática y = mx + b, onde m é o coeficiente angular e b é o coeficiente linear. Vamos entender como as variações nos valores de m e b afetam o gráfico dessa função, além de aprender a interpretar e a representar essa função em um plano cartesiano. Exploraremos, também, aplicações práticas das funções lineares em contextos do mundo real, como a determinação de preços, a análise de custos e a modelagem de descontos progressivos em promoções. Compreender as funções lineares é essencial para avançar em temas mais complexos de álgebra e cálculo."
"4","2","Geometria Plana: Áreas e Perímetros de Figuras Planas","https://www.youtube.com/watch?v=YJyY6A_MOQc&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=4",NULL,NULL,"A geometria plana é uma das disciplinas mais práticas da matemática, lidando com figuras em duas dimensões. Nesta aula, vamos estudar como calcular as áreas e os perímetros de diversas figuras geométricas, como quadrados, retângulos, triângulos, círculos, entre outras formas. Vamos aplicar as fórmulas matemáticas necessárias para realizar esses cálculos e entender como essas medições são essenciais em situações cotidianas. Por exemplo, essas habilidades podem ser úteis em projetos de construção, na confecção de embalagens, no planejamento de jardins e até em decisões financeiras, como o cálculo de custos de materiais em reformas ou construções."
"5","2","Teorema de Pitágoras: Aplicações em Triângulos Retângulos","https://www.youtube.com/watch?v=SgJpB78R7x0&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=5",NULL,NULL,"O Teorema de Pitágoras é uma das leis mais importantes da geometria, utilizado para encontrar a medida de um lado de um triângulo retângulo quando se conhece os outros dois lados. O teorema afirma que o quadrado da hipotenusa (o lado oposto ao ângulo reto) é igual à soma dos quadrados dos catetos. Nesta aula, vamos explorar como aplicar essa fórmula para resolver problemas geométricos e práticos. Veremos, também, diversas maneiras de aplicar o Teorema de Pitágoras em situações cotidianas, como no planejamento de construções, na navegação e até no design de circuitos elétricos e sistemas de comunicação, mostrando sua relevância em várias áreas do conhecimento."
"6","2","Progressões Aritméticas: Definição e Exemplos","https://www.youtube.com/watch?v=4Vfw1XiHTpM&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=6",NULL,NULL,"As progressões aritméticas (PA) são sequências numéricas em que cada termo após o primeiro é obtido pela soma de um valor constante. Nesta aula, vamos explorar como identificar uma PA, como calcular seu valor geral e também o valor do n-ésimo termo dessa sequência. Vamos abordar exemplos práticos e aprender a utilizar a fórmula da soma dos termos de uma PA. Compreender as progressões aritméticas é fundamental para resolver problemas do cotidiano, como o cálculo de juros simples, planejamento financeiro, organização de pagamentos mensais e até mesmo o ajuste de saldos em contas bancárias."
"7","2","Equações Quadráticas: Resolução e Gráficos","https://www.youtube.com/watch?v=QmIjZgKhAEo&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=7",NULL,NULL,"As equações quadráticas são aquelas em que a variável está elevada ao quadrado. Nesta aula, vamos aprender a resolver equações quadráticas usando diferentes métodos, como fatoração, a fórmula de Bhaskara e o método de completar o quadrado. Também discutiremos a importância do gráfico dessas equações, que forma uma parábola no plano cartesiano, e como representar graficamente as soluções dessas equações. A compreensão das equações quadráticas é essencial em várias áreas da matemática e suas aplicações, como em problemas de física, economia e até na engenharia, onde o comportamento de sistemas é modelado por essas equações."
"8","2","Geometria Espacial: Volume de Sólidos","https://www.youtube.com/watch?v=04nnroZrmgg&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=8",NULL,NULL,"Na geometria espacial, estudamos figuras tridimensionais, como cubos, esferas, cilindros e pirâmides. Nesta aula, vamos aprender a calcular o volume desses sólidos utilizando fórmulas específicas para cada tipo de figura. Veremos como calcular o volume de um cilindro, uma esfera, um cubo e outras formas tridimensionais, além de discutir como esses cálculos são usados no mundo real. Esses conceitos são aplicados em diversos campos, como em cálculos de capacidade de recipientes, no design e fabricação de produtos, e até em projetos de construção civil e arquitetura."
"9","2","Funções Quadráticas: Características e Gráficos","https://www.youtube.com/watch?v=_3YQvVKbqn0&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=9",NULL,NULL,"As funções quadráticas são representadas por equações do tipo f(x) = ax² + bx + c, onde a, b e c são constantes. Nesta aula, vamos explorar as principais características dessas funções, como o vértice da parábola, a concavidade, as raízes e a simetria. Também veremos como o gráfico de uma função quadrática é uma parábola e como representá-la de forma precisa. Além disso, discutiremos aplicações das funções quadráticas, como na modelagem de movimentos de projéteis, no estudo de fenômenos naturais e em cálculos financeiros relacionados a investimentos e crescimento."
"10","2","Progressões Geométricas: Definição e Aplicações","https://www.youtube.com/watch?v=3amBZupsIdc&list=PLTPg64KdGgYhYpS5nXdFgdqEZDOS5lARB&index=10",NULL,NULL,"As progressões geométricas (PG) são sequências numéricas em que cada termo é obtido multiplicando o termo anterior por uma constante chamada razão. Nesta aula, vamos aprender a identificar uma progressão geométrica, calcular o n-ésimo termo e também entender como calcular a soma dos termos de uma PG. Além disso, exploraremos as aplicações práticas das progressões geométricas, especialmente em situações financeiras, como no cálculo de juros compostos, investimentos a longo prazo e outros cenários em que os valores aumentam ou diminuem exponencialmente."
